# energy p(up) p(down)
-9.681465992000001108e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.679605992000000469e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.677745991999999831e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.675875992000000281e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.674015992000001063e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.672145992000000092e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.670285992000000874e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.668425992000000235e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.666555992000000685e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.664695992000000047e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.662825992000000497e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.660965991999999858e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.659105992000000640e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.657235992000001090e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.655375992000000451e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.653505992000000901e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.651645992000000263e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.649785992000001045e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.647915992000000074e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.646055992000000856e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.644195992000000217e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.642325992000000667e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.640465992000000028e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.638595992000000479e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.636735991999999840e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.634875992000000622e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.633005992000001072e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.631145992000000433e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.629275992000000883e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.627415992000000244e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.625555992000001027e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.623685992000000056e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.621825992000000838e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.619955991999999867e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.618095992000000649e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.616235992000000010e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.614365992000000460e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.612505991999999821e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.610635992000000272e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.608775992000001054e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.606915992000000415e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.605045992000000865e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.603185992000000226e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.601315992000000676e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.599455992000000037e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.597595992000000820e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.595725991999999849e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.593865992000000631e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.592005991999999992e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.590135992000000442e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.588275991999999803e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.586405992000000253e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.584545992000001036e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.582685992000000397e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.580815992000000847e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.578955992000000208e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.577085992000000658e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.575225992000000019e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.573365992000000801e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.571495991999999831e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.569635992000000613e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.567765992000001063e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.565905992000000424e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.564045991999999785e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.562175992000000235e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.560315992000001017e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.558445992000000047e+01 0.000000000000000000e+00 -0.000000000000000000e+00
