# energy d(up) d(down)
-9.713494384999999909e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.711574385000000120e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.709644385000000000e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.707714384999999879e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.705794385000000091e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.703864384999999970e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.701934384999999850e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.700004384999999729e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.698084384999999941e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.696154384999999820e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.694224384999999700e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.692304384999999911e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.690374384999999791e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.688444384999999670e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.686524384999999882e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.684594384999999761e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.682664385000001062e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.680734385000000941e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.678814384999999731e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.676884385000001032e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.674954385000000912e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.673034384999999702e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.671104385000001002e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.669174385000000882e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.667244385000000761e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.665324385000000973e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.663394385000000852e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.661464385000000732e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.659544385000000943e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.657614385000000823e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.655684385000000702e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.653754385000000582e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.651834385000000793e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.649904385000000673e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.647974385000000552e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.646054385000000764e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.644124385000000643e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.642194385000000523e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.640264385000000402e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.638344385000000614e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.636414385000000493e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.634484385000000373e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.632564385000000584e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.630634385000000464e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.628704385000000343e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.626774385000000223e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.624854385000000434e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.622924385000000314e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.620994385000000193e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.619074385000000404e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.617144385000000284e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.615214385000000163e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.613284385000000043e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.611364385000000254e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.609434385000000134e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.607504385000000013e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.605584385000000225e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.603654385000000104e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.601724384999999984e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.599804385000000195e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.597874385000000075e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.595944384999999954e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.594014384999999834e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.592094385000000045e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.590164384999999925e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.588234384999999804e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.586314385000000016e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.584384384999999895e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.582454384999999775e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.580524384999999654e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.578604384999999866e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.576674384999999745e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.574744385000001046e+01 0.000000000000000000e+00 -0.000000000000000000e+00
