# energy d(up) d(down)
-9.705062934000000041e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.703162933999999495e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.701262933999998950e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.699362933999999825e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.697462933999999279e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.695552933999999823e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.693652933999999277e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.691752934000000153e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.689852933999999607e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.687952933999999061e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.686042933999999605e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.684142933999999059e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.682242933999999934e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.680342933999999389e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.678432933999999932e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.676532933999999386e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.674632934000000262e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.672732933999999716e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.670832933999999170e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.668922933999999714e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.667022933999999168e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.665122934000000043e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.663222933999999498e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.661322933999998952e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.659412933999999495e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.657512933999998950e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.655612933999999825e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.653712933999999279e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.651812934000000155e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.649902933999999277e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.648002934000000153e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.646102933999999607e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.644202933999999061e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.642302933999999937e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.640392933999999059e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.638492933999999934e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.636592933999999389e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.634692934000000264e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.632782933999999386e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.630882934000000262e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.628982933999999716e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.627082933999999170e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.625182934000000046e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.623272933999999168e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.621372934000000043e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.619472933999999498e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.617572933999998952e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.615672933999999827e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.613762933999998950e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.611862933999999825e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.609962933999999279e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.608062934000000155e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.606162933999999609e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.604252934000000153e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.602352933999999607e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.600452933999999061e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.598552933999999937e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.596652933999999391e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.594742933999999934e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.592842933999999389e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.590942934000000264e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.589042933999999718e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.587132934000000262e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-9.585232933999999716e+01 0.000000000000000000e+00 -0.000000000000000000e+00
